sheet,pair,metric,cohens_d,mean_i,mean_j,n_i,n_j,p_raw,p_sidak
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p4_n1,0.9813778199340617,0.24355215784404433,0.04901966716173319,26,28,0.09339907709639872,0.25484182483304285
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p4_n2,0.498171552166325,-31.23096252644643,-39.250701655770214,26,28,0.2680094795462047,0.607792069907761
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p4_n2,0.9815334856282947,0.16048814550307072,0.0328821051785979,26,28,0.08892594692441336,0.2437575794045782
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p4_n3,0.5534773814589021,-40.91092617439828,-50.54408776680888,26,28,0.25143441476259176,0.5805409483853975
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p4_n3,0.9793380784326341,0.12028405502334599,0.02518949370668639,26,28,0.09218022325004216,0.25183236227405836
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p4_n4,0.6092579509911062,-49.35347620636357,-60.25990894788801,26,28,0.22755606353862978,0.5391061583922181
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p4_n4,0.9889178457833977,0.09846652110921009,0.020870080456886732,26,28,0.09419151789414437,0.25679409865969427
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p4_n5,0.6715535254990597,-57.020265452414655,-68.74358226516878,26,28,0.1948296396877558,0.47800861168136366
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p4_n5,0.9958501120612864,0.08456151487201899,0.018073162808105007,26,28,0.09580400576078041,0.2607561229298091
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p5_n1,0.5536567725822334,-18.52056218325523,-26.508506497573656,26,28,0.21320306313657267,0.5129338126889018
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p5_n1,1.0199260804481347,0.3690576568986303,0.07216507401777379,26,28,0.0788572259426582,0.2184066622473846
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p5_n2,0.5879454705185593,-29.009098363111,-38.69823655982685,26,28,0.21717965069929712,0.5202816627960383
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p5_n2,1.0327746793368748,0.2427049872905475,0.048120079883162144,26,28,0.07121844479737938,0.19880035846912214
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p5_n3,0.635973642517822,-38.689062011062845,-49.99162267086552,26,28,0.209679919765844,0.5063614709350825
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p5_n3,1.0400708486023686,0.18159790320782065,0.0367550310482203,26,28,0.07233544126035552,0.201687564718802
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p5_n4,0.687967101580948,-47.131612043028134,-59.70744385194465,26,28,0.19270068135689322,0.4738570471707847
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p5_n4,1.0576208752138385,0.14836000048696218,0.03040544559084484,26,28,0.07346272553413558,0.20459432205705363
TRAK isoform (mito),TRAK1 vs TRAK2,diff_p5_n5,0.6943319384786489,-53.88953785005872,-67.23451587717577,34,39,0.05781954407410861,0.16362262969062735
TRAK isoform (mito),TRAK1 vs TRAK2,ratio_p5_n5,1.04148839355996,0.13334924580690552,0.026625136911391206,34,39,0.011797273475423253,0.03497593533524723
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p1_n1,0.2630724412926314,-24.62643161323571,-27.933744845170096,26,19,0.49180055588628335,0.7417333250025093
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p1_n1,0.8199947810589988,0.03549183564417713,0.003446725590427415,26,19,0.08159256152523475,0.15652777695422027
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p1_n2,0.3831232837745405,-35.11496779309147,-41.23380657416258,26,19,0.3170125020743304,0.5335280776772335
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p1_n2,0.8223104106415484,0.023175862813919233,0.0021069863586025326,26,19,0.06954339082465666,0.13425049844192238
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p1_n3,0.49617097217232037,-44.794931441043325,-53.85541665583709,26,19,0.20370255359920486,0.3659103768555728
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p1_n3,0.8184158107385023,0.01729154055202746,0.001522200185696876,26,19,0.06255461391155415,0.12119614810148471
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p1_n4,0.6018609617045888,-53.237481473008614,-64.72950261074422,26,19,0.14591698517530483,0.27054220378795957
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p1_n4,0.8143755828553555,0.014237357708051289,0.0011875605534521938,26,19,0.05886236644058562,0.1142599546981855
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p1_n5,0.6703489362126722,-60.90427071905971,-73.47341435417987,26,19,0.11163695731669321,0.21081110439445727
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p1_n5,0.8093836636932176,0.012314753560013113,0.0009889483666115203,26,19,0.05645734202553965,0.1097272525824905
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p2_n1,0.32573533259141707,-23.696118135320827,-27.83121151101666,26,19,0.403050026018855,0.6436507285639103
TRAK1 helix muts,T1 wt vs T1 mDRH,ratio_p2_n1,0.9021542250765102,0.08302861122004207,0.008245470967045575,26,19,0.05923434812759654,0.11495998825709175
TRAK1 helix muts,T1 wt vs T1 mDRH,diff_p2_n2,0.43247423375670047,-34.184654315176594,-41.13127324000915,26,19,0.26522403321071164,0.4601042786288666
