path,plate,well,sheet,condition
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell13.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell15.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell2.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell3.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell4.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell5.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell6-1.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250612_patterned_plate_3/B08_TRAK2_mDRH_dSp/Cell8.nd2,250612_patterned_plate_3,B08,TRAK2 helix muts,TRAK2 mDRH mSpindly
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell10.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell11.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell3.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell4.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell5.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell6.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell8.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/C02_250718_NoV/cell9.nd2,250710_patterned_plate_9_good,C02,TRAK isoform (mito),no TRAK
